==PROF== Connected to process 4106520 (/data/lib/podman-data/projects/goml/runs/fa_v111_producer_skip)
NCu config: bh=64 sl=8192 hd=128 wnd=0 grid=5504
==PROF== Disconnected from process 4106520
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","4.50",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","4.50",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Warp State Statistics","Avg. Active Threads Per Warp","","32",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","30.21",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 1.7 cycles being stalled waiting on a fixed latency execution dependency. Typically, this stall reason should be very low and only shows up as a top contributor in already highly optimized kernels. Try to hide the corresponding instruction latencies by increasing the number of active warps, restructuring the code or unrolling loops. Furthermore, consider switching to lower-latency instructions, e.g. by making use of fast math compiler options. This stall type represents about 38.7% of the total average of 4.5 cycles between issuing two instructions.","local","38.65"
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Instruction Statistics","Local Memory Spilling Requests","byte","0",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Instruction Statistics","Shared Memory Spilling Requests","byte","0",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","5,459,220.94",
"0","4106520","fa_v111_producer_skip","127.0.0.1","fa111_kernel(const unsigned char *, const unsigned char *, const unsigned char *, __half *, int, int, int, float, float, float, int)","1","7","(128, 1, 1)","(5504, 1, 1)","0","12.0","Instruction Statistics","Executed Instructions","inst","4,105,334,144",
